Code;NomProjet;Annee;Rep Scripts PS;Repertoire
ACC8;2020-11-04 Mater Louis Guiotton NANTES (ACC8);2020-2021;PHOTOLAB-Studio²;~/Desktop/AASOURCE
ECOLE-1008;2020-10-16 Prim La Garenne SEVERAC (ECOLE-1008);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-16%20Prim%20La%20Garenne%20SEVERAC%20(ECOLE-1008)/SOURCE
ACC10;2020-10-14 Prim Marcel Pagnol GENESTON 2020-10-14 Prim Marcel Pagnol GENESTON (ACC10);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-14%20Prim%20Marcel%20Pagnol%20GENESTON%20(ACC10)/SOURCE
ECOLE-1010;2020-10-13 Elem Ledru Rollin NANTES (ECOLE-1010);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-13%20Elem%20Ledru%20Rollin%20NANTES%20(ECOLE-1010)/SOURCE
ECOLE-1005;2020-10-12 Maternelle La Halbarderie THOUARE SUR LOIRE (ECOLE-1005);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-12%20Maternelle%20La%20Halbarderie%20THOUARE%20SUR%20LOIRE%20(ECOLE-1005)/SOURCE
ECOLE-1007;2020-10-09 Maternelle La Chateigneraie HAUTE GOULAINE (ECOLE-1007);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-12%20Maternelle%20La%20Halbarderie%20THOUARE%20SUR%20LOIRE%20(ECOLE-1005)/SOURCE
ECOLE-1017;2020-10-08 Elem La Chateigneraie HAUTE GOULAINE (ECOLE-1017);2020-2021;PHOTOLAB-Studio²;~/Desktop/ex%20Brut%20GOHARD
ECOLE-1016;2020-10-07-Maternelle La Salentine-ORVAULT (ECOLE-1016);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-07-Maternelle%20La%20Salentine-ORVAULT%20(ECOLE-1016)/SOURCE
ACC14;2020-10-05 Prim Jacques Brel ST PERE EN RETZ (ACC14);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-05%20Prim%20Jacques%20Brel%20ST%20PERE%20EN%20RETZ%20(ACC14)/SOURCE
ACC7;2020-10-02 Prim St Léger MARSAC SUR DON (ACC7);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-10-02%20Prim%20St%20L%C3%A9ger%20MARSAC%20SUR%20DON%20(ACC7)/SOURCE
ACC4;2020-09-28 Prim ND de la Clarté ST PHILBERT DE GD LIEU (ACC4);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-09-28%20Prim%20ND%20de%20la%20Clart%C3%A9%20ST%20PHILBERT%20DE%20GD%20LIEU%20(ACC4)/SOURCE
ECOLE-1004;2020-09-24 Elem Le Vieux Chêne ORVAULT (ECOLE-1004);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-09-24%20Elem%20Le%20Vieux%20Ch%C3%AAne%20ORVAULT%20(ECOLE-1004)/SOURCE
ECOLE-1003;2020-09-21 Elem René Guy Cadou-HERBIGNAC (ECOLE-1003);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-09-21%20Elem%20Ren%C3%A9%20Guy%20Cadou-HERBIGNAC%20(ECOLE-1003)/SOURCE
ACC5;2020-09-18-Elementaire La Salentine-ORVAULT (ACC5);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-09-18-Elementaire%20La%20Salentine-ORVAULT%20(ACC5)/SOURCE
MB-Marie-01;2020-09-14 MB-Marie Lycee St Joseph-CHATEAUBRIANT (MB-Marie-01);2020-2021;PHOTOLAB-Classique-MB;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-09-14%20MB-Marie%20Lycee%20St%20Joseph-CHATEAUBRIANT%20(MB-Marie-01)/SOURCE
ACC6;2020-09-01-Lycee Aimé Césaire CLISSON (ACC6);2020-2021;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2020-2021/2020-09-01-Lycee%20Aim%C3%A9%20C%C3%A9saire%20CLISSON%20(ACC6)/SOURCE
ACC3;2020-06-25-MONTRELAIS - Joachim Du Bellay 2019-2020 - (ACC3);2019-2020;PHOTOLAB-Studio²;/d/EXPLOITATION%20PHOTOS/2019-2020/2020-06-25-MONTRELAIS%20-%20Joachim%20Du%20Bellay%202019-2020%20-%20(ACC3)/SOURCE
